bioguide_id,thomas_id,party
C001123,,Democrat
P000618,,Democrat
R000616,,Democrat
L000593,,Democrat
N000191,,Democrat
C001121,,Democrat
H001081,,Democrat
W000823,,Republican
S001210,,Republican
S001214,,Republican
M001207,,Democrat
S001206,,Democrat
M001208,,Democrat
S001204,,Democrat
F000467,,Democrat
A000378,,Democrat
F000469,,Republican
G000586,,Democrat
C001117,,Democrat
U000040,,Democrat
B001307,,Republican
P000615,,Republican
W000824,,Republican
D000629,,Democrat
T000482,,Democrat
P000617,,Democrat
T000483,,Democrat
S001208,,Democrat
L000592,,Democrat
S001215,,Democrat
T000481,,Democrat
H001088,,Republican
C001119,,Democrat
P000616,,Democrat
O000173,,Democrat
S001212,,Republican
G000591,,Republican
A000377,,Republican
P000614,,Democrat
V000133,,Democrat
K000394,,Democrat
M001203,,Democrat
S001207,,Democrat
H001080,,Democrat
T000484,,Democrat
L000590,,Democrat
R000613,,Democrat
O000172,,Democrat
D000630,,Democrat
B001308,,Democrat
G000588,,Republican
H001083,,Democrat
D000631,,Democrat
H001085,,Democrat
M001204,,Republican
J000302,,Republican
R000610,,Republican
C001122,,Democrat
T000480,,Republican
J000301,,Republican
B001309,,Republican
R000612,,Republican
G000590,,Republican
C001120,,Republican
T000479,,Republican
G000589,,Republican
W000827,,Republican
F000468,,Democrat
E000299,,Democrat
R000614,,Republican
G000587,,Democrat
A000376,,Democrat
M001209,,Democrat
L000591,,Democrat
R000611,,Republican
C001118,,Republican
S001209,,Democrat
W000825,,Democrat
S001216,,Democrat
S001213,,Republican
M001205,,Republican
S001217,,Republican
B001310,,Republican
H001089,,Republican
R000615,,Republican
M001197,2225,Republican
G000592,,Democrat
K000395,,Republican
B001311,,Republican
M001210,,Republican
B000226,,Anti-Administration
B000546,,
B001086,,
C000187,,
C000538,,
C000710,,
D000013,,Pro-Administration
E000155,,Pro-Administration
F000100,,Anti-Administration
F000224,,
G000012,,
G000403,,Anti-Administration
G000500,,
H000368,,Pro-Administration
H000995,,
I000053,,Pro-Administration
J000182,,Pro-Administration
J000198,,Pro-Administration
L000201,,Anti-Administration
M000031,,Anti-Administration
M000234,,
M000985,,Pro-Administration
P000092,,
P000102,,Pro-Administration
S000624,,
S000961,,
V000053,,
W000783,,
D000324,,Pro-Administration
W000059,,Pro-Administration
A000307,,
B000167,,
B001133,,Republican
C000009,,Federalist
C000185,,
E000147,,Federalist
G000139,,
H000916,,
J000036,,
K000158,,
R000091,,
R000350,,Anti-Administration
S000140,,
S000242,,
S000340,,
S000349,,Pro-Administration
S000412,,
S000832,,
S000866,,
S001047,,
T000403,,
W000216,,
W000352,,
W000551,,Federalist
W000560,,
E000075,,Anti-Administration
P000473,,Federalist
A000280,,
B000282,,
B000661,,
B000671,,
B000739,,Federalist
C000012,,
C000163,,
C000418,,
C000545,,
C000591,,
D000157,,Anti-Administration
E000060,,
F000178,,
F000282,,
F000368,,Federalist
G000211,,
G000311,,
G000466,,
H000750,,
I000035,,
L000178,,
L000200,,
M000166,,Republican
M000424,,
M000622,,
M000645,,
M000828,,Pro-Administration
M000873,,
N000055,,
N000109,,
P000320,,
S000186,,
S001009,,Federalist
T000019,,
T000361,,
V000039,,
V000104,,Federalist
W000013,,
W000051,,
W000127,,
W000211,,
W000491,,
W000633,,
T000107,,Republican
W000114,,Federalist
A000174,,Federalist
B000474,,Federalist
B000563,,Republican
B000669,,Federalist
B001014,,Federalist
C000624,,Republican
C000848,,Federalist
D000178,,Republican
D000578,,Republican
E000010,,Republican
G000173,,Federalist
G000434,,Republican
G000526,,Federalist
H000148,,Federalist
H000348,,Republican
H000431,,Republican
H000488,,Federalist
H000508,,Federalist
L000067,,Republican
L000246,,Federalist
L000530,,Republican
M000155,,Federalist
M001063,,Republican
M001119,,Federalist
O000101,,Republican
P000018,,Republican
P000026,,Federalist
P000108,,Republican
P000514,,Republican
R000092,,Federalist
R000215,,Republican
R000548,,Republican
S000339,,Republican
S000555,,Federalist
S000753,,Republican
S001029,,Federalist
S001119,,Federalist
T000050,,Republican
T000389,,Federalist
W000377,,
B000570,,Republican
G000286,,Federalist
H000841,,Federalist
H000982,,Republican
L000120,,Federalist
T000052,,Republican
A000129,,Federalist
B000396,,Republican
B000735,,Federalist
B000875,,Federalist
B000991,,Republican
B001053,,Federalist
B001081,,Republican
C000313,,Federalist
C000369,,Federalist
C000563,,Federalist
C000600,,Federalist
D000073,,Federalist
E000089,,Federalist
F000313,,Republican
F000365,,Republican
H000266,,Republican
H000803,,Federalist
L000115,,Federalist
L000377,,Federalist
L000389,,Republican
M000013,,Federalist
M000226,,Republican
M000256,,Federalist
M000336,,Republican
M000423,,Republican
M000946,,Federalist
P000058,,Federalist
R000448,,Federalist
R000550,,Federalist
S000154,,Federalist
S000448,,Federalist
S000460,,Federalist
S000563,,Federalist
S000595,,Federalist
S000625,,Republican
S000633,,Federalist
S000743,,Federalist
S001095,,Republican
T000232,,Federalist
V000012,,Federalist
W000513,,Federalist
C000497,,Federalist
H000661,,Federalist
N000142,,Federalist
W000202,,Federalist
B000198,,Federalist
B000731,,Federalist
B000927,,Federalist
B000929,,Republican
C000382,,Republican
C000572,,Republican
C000764,,Federalist
C000863,,Federalist
D000069,,Federalist
D000165,,Federalist
D000254,,Federalist
D000296,,Federalist
D000331,,Federalist
E000052,,Federalist
E000091,,Republican
E000257,,Federalist
F000364,,Federalist
G000020,,Republican
G000235,,Federalist
G000279,,Republican
G000294,,Federalist
G000318,,Federalist
G000427,,Federalist
H000299,,Federalist
H000359,,Republican
I000011,,Federalist
J000227,,Federalist
K000253,,Federalist
L000195,,Federalist
L000336,,Republican
L000364,,Federalist
L000528,,Federalist
M000157,,Federalist
M000571,,
N000084,,Republican
N000161,,Federalist
P000021,,Federalist
P000065,,Federalist
P000357,,Federalist
P000381,,Federalist
P000482,,Federalist
R000120,,Federalist
S000222,,Federalist
S000259,,Federalist
S000693,,Republican
T000141,,Federalist
T000173,,Federalist
T000183,,Federalist
W000094,,Federalist
F000301,,Federalist
H000629,,Federalist
M000976,,Federalist
B000017,,Republican
B000477,,Federalist
B000660,,Federalist
B000787,,Republican
C000005,,Republican
C000627,,Republican
D000138,,Republican
E000114,,Republican
E000153,,Republican
F000054,,Federalist
F000297,,Federalist
G000428,,
G000502,,Federalist
H000475,,Federalist
H000611,,Federalist
H000986,,
J000012,,Republican
J000017,,Republican
J000123,,Republican
J000258,,Republican
L000204,,Federalist
L000316,,Republican
L000401,,Republican
M000259,,Federalist
M000983,,Federalist
M000988,,Federalist
M001066,,Democratic Republican
O000041,,Federalist
O000060,,Federalist
P000190,,Federalist
P000231,,Federalist
R000093,,Federalist
R000553,,Federalist
S000312,,Federalist
S000330,,Federalist
S000582,,Republican
S000752,,Republican
S000994,,Federalist
T000025,,Republican
T000273,,Republican
T000348,,Federalist
U000022,,Federalist
V000049,,Republican
W000046,,Federalist
W000534,,Republican
W000722,,Federalist
B001186,,Republican
C000525,,Republican
P000393,,Federalist
B000049,,Republican
B000097,,Federalist
B000697,,Republican
B000970,,Federalist
C000406,,Republican
C001026,,Federalist
D000243,,Federalist
D000583,,Federalist
E000008,,Republican
G000196,,Republican
G000467,,Federalist
G000482,,Federalist
H000133,,Republican
H000140,,Republican
H000570,,Republican
H000695,,Republican
H000976,,Federalist
L000097,,Republican
L000294,,Federalist
L000482,,Federalist
M000029,,Republican
M000359,,Republican
M000824,,Federalist
M001039,,Republican
P000036,,Republican
P000101,,Republican
P000298,,Republican
P000378,,Federalist
P000468,,Republican
P000577,,Federalist
S000471,,Republican
S000557,,Republican
S000567,,Republican
S000912,,Republican
T000143,,Federalist
T000262,,Federalist
T000370,,Republican
V000045,,Republican
V000083,,Republican
W000392,,Federalist
W000526,,Federalist
A000282,,Republican
H000870,,Republican
M000891,,Republican
A000100,,Republican
A000191,,Republican
A000272,,Republican
B000084,,Republican
B000301,,Republican
B000425,,Federalist
B000488,,Republican
B000989,,Republican
C000226,,Republican
C000424,,Republican
C000704,,Republican
C000817,,Republican
D000333,,Republican
D000582,,Federalist
E000014,,Republican
E000130,,Federalist
E000154,,Republican
F000074,,Republican
F000322,,Republican
G000248,,Federalist
G000488,,Federalist
H000090,,Republican
H000111,,Republican
H000161,,Republican
H000331,,Federalist
H000811,,Federalist
K000246,,Republican
L000367,,Federalist
L000478,,Republican
L000492,,Republican
M000057,,Republican
M000437,,Republican
M000614,,Republican
M000649,,Republican
N000100,,Republican
O000067,,Republican
R000051,,Republican
S000015,,Republican
S000041,,Republican
S000149,,Republican
S000524,,Republican
S000570,,Federalist
S000598,,Republican
S000698,,Republican
S000805,,Republican
S001073,,Republican
T000127,,Federalist
T000213,,Republican
T000249,,Republican
W000014,,Federalist
W000116,,Republican
W000403,,Republican
W000440,,Republican
W000531,,Republican
W000642,,Republican
W000786,,Republican
M000712,,Republican
A000092,,Republican
B000144,,Republican
B000446,,Republican
B000533,,Republican
B000729,,Republican
B000745,,Republican
B000888,,Federalist
C000148,,Republican
C000403,,Republican
C000426,,
C000486,,Republican
C000526,,Republican
C000947,,Republican
D000047,,Republican
D000173,,Republican
D000565,,Republican
E000122,,Federalist
F000344,,Republican
G000052,,Republican
G000075,,Republican
G000293,,Federalist
G000442,,Republican
H000245,,Republican
H000573,,Republican
H000699,,Republican
H000957,,Republican
I000009,,Republican
J000220,,Republican
K000073,,Federalist
K000239,,Republican
K000286,,Republican
M000232,,Republican
M000240,,Republican
M000387,,Republican
M000864,,Republican
M001005,,Republican
P000052,,
P000067,,Republican
P000562,,Republican
R000212,,Republican
R000257,,Republican
R000529,,Republican
S000493,,Republican
S000562,,Republican
S000566,,Republican
S000978,,Republican
S001096,,Republican
T000163,,Republican
T000268,,Republican
T000368,,Republican
V000011,,Republican
V000022,,Republican
V000088,,Republican
W000454,,Republican
W000529,,Republican
W000568,,Republican
W000606,,Republican
W000657,,Republican
M000633,,Republican
M000043,,Republican
A000136,,Federalist
A000165,,Republican
A000197,,Republican
B000530,,Federalist
B000802,,Republican
B000928,,Republican
C000045,,Republican
C000076,,Republican
C000091,,Federalist
C000279,,Federalist
C000280,,Federalist
C000289,,Federalist
C000723,,Republican
C000834,,Republican
C000910,,Republican
D000240,,
G000049,,Federalist
G000054,,Republican
G000066,,Republican
G000136,,Republican
G000489,,Republican
H000354,,Federalist
H000464,,Republican
H000571,,Republican
H000618,,Federalist
H000718,,Republican
H000834,,Republican
H000886,,Federalist
J000087,,Federalist
J000254,,Republican
K000089,,Republican
K000282,,Federalist
L000036,,Republican
L000229,,Republican
L000363,,Federalist
L000456,,Republican
L000545,,Republican
M000076,,Federalist
M000130,,Republican
M000239,,Federalist
M000520,,Republican
M000750,,Republican
M001076,,Republican
N000041,,Republican
N000086,,Republican
N000098,,Republican
P000330,,Federalist
P000443,,Republican
P000493,,
R000218,,Republican
R000346,,Republican
S000098,,Republican
S000200,,Republican
S000507,,Republican
S000610,,Republican
S000800,,Federalist
S000828,,Federalist
S001125,,Federalist
T000206,,Republican
U000023,,Federalist
V000043,,Republican
V000054,,Federalist
W000220,,Republican
W000411,,Republican
W000592,,Federalist
W000661,,Republican
C001031,,Republican
T000085,,Republican
W000750,,Republican
B000015,,Republican
B000067,,Federalist
B000207,,Republican
B000249,,Federalist
B000511,,Republican
B000555,,Federalist
B000569,,Republican
B000714,,Republican
B001194,,Republican
C000175,,Republican
C000372,,Federalist
C000547,,Republican
C000564,,Republican
C000734,,Republican
C000895,,Republican
C001033,,Republican
D000357,,Republican
E000176,,Federalist
F000156,,Federalist
G000039,,Republican
G000183,,Republican
G000215,,Republican
G000394,,Republican
G000413,,Republican
H000064,,Republican
H000223,,Republican
H000865,,Republican
K000159,,Federalist
L000212,,Republican
L000370,,Federalist
M000267,,Republican
M000302,,Federalist
M000668,,Republican
M000785,,Federalist
M000831,,Republican
M000867,,Republican
M000951,,Republican
N000064,,Republican
P000146,,Republican
P000425,,Republican
Q000015,,Federalist
R000375,,Republican
S000023,,Republican
S000215,,Republican
S000310,,Republican
S000508,,Republican
S000537,,Republican
S000984,,Republican
S001052,,Federalist
T000033,,Republican
T000347,,Republican
T000416,,Republican
T000423,,Republican
V000023,,Republican
V000074,,Republican
W000385,,Federalist
W000444,,Republican
W000495,,Republican
W000615,,Federalist
W000637,,Republican
D000273,,Unknown
M000056,,Republican
P000450,,Republican
B000161,,Republican
B000260,,Federalist
B000273,,Republican
B000388,,Federalist
B000434,,Republican
B000453,,Federalist
B000467,,Republican
B000554,,Republican
B000612,,
B000684,,Republican
B000691,,Federalist
B000715,,Federalist
B000942,,Republican
B001051,,Republican
B001176,,Republican
C000131,,Federalist
C000350,,Republican
C000667,,Republican
C000843,,Federalist
C000934,,Republican
D000002,,Federalist
D000023,,Republican
D000133,,Republican
D000134,,Federalist
D000151,,Republican
D000252,,Republican
D000293,,Federalist
D000577,,Republican
E000168,,Federalist
E000238,,Republican
F000036,,Republican
F000279,,Republican
F000346,,Republican
F000389,,Republican
G000116,,Federalist
G000241,,Federalist
G000345,,Republican
H000254,,Republican
H000313,,Republican
H000372,,Republican
H000472,,
H000487,,Federalist
H000778,,Republican
H000780,,Federalist
H000867,,Federalist
H000887,,Republican
H000914,,Federalist
H000962,,Republican
H001026,,Republican
J000025,,Federalist
K000116,,Republican
K000149,,Republican
L000011,,Republican
L000213,,Republican
M000132,,Federalist
M000217,,Federalist
M000515,,Republican
M000747,,Federalist
P000168,,Federalist
P000455,,Federalist
P000463,,Federalist
R000089,,Republican
R000130,,Federalist
R000231,,Republican
S000150,,Federalist
S000356,,Federalist
S000366,,Federalist
S000469,,Republican
S000483,,Federalist
S000556,,Republican
S000564,,Republican
S000608,,Federalist
S000941,,Federalist
S000955,,Republican
T000015,,Republican
T000036,,Republican
T000205,,Federalist
W000287,,Federalist
W000367,,Federalist
W000402,,Republican
W000404,,Republican
W000644,,Federalist
W000687,,Republican
B000192,,Republican
K000141,,Republican
L000387,,Unknown
R000313,,Republican
T000220,,Federalist
W000053,,Republican
W000324,,Republican
A000056,,Republican
A000096,,Republican
A000324,,Federalist
A000345,,Republican
B000026,,Federalist
B000060,,Republican
B000137,,Republican
B000427,,Republican
B000482,,Republican
B000733,,Federalist
B000785,,Federalist
B000833,,Federalist
B000883,,Republican
B000904,,Federalist
B001132,,Republican
C000014,,Federalist
C000033,,Republican
C000083,,Republican
C000176,,Federalist
C000288,,Federalist
C000320,,Republican
C000366,,Federalist
C000394,,Federalist
C000438,,Republican
C000456,,Republican
C000487,,Republican
C000510,,Republican
C000531,,Republican
C000692,,Republican
C000762,,Federalist
C000894,,Republican
C000914,,Republican
D000024,,Federalist
D000075,,Federalist
D000306,,Republican
E000022,,
F000124,,Republican
F000155,,Republican
F000204,,Republican
G000096,,Federalist
G000150,,Republican
G000231,,Republican
G000257,,Federalist
G000261,,Federalist
G000322,,Federalist
G000461,,Republican
G000498,,Federalist
H000018,,Republican
H000039,,Federalist
H000045,,Republican
H000127,,Republican
H000361,,Republican
H000476,,Republican
H000795,,Federalist
H000915,,Federalist
H000935,,Federalist
H000967,,Republican
H000991,,Federalist
I000042,,Republican
J000021,,Republican
J000107,,Federalist
K000126,,Federalist
K000136,,Republican
K000169,,Republican
K000197,,Federalist
L000066,,Federalist
L000118,,
L000126,,Federalist
L000290,,Federalist
L000460,,Republican
L000466,,Federalist
L000524,,Republican
L000539,,Federalist
M000146,,Federalist
M000288,,Republican
M000496,,Republican
M000549,,Republican
M000840,,Federalist
M000909,,Republican
M000919,,Republican
M001084,,Republican
N000164,,Federalist
O000100,,Republican
P000324,,Federalist
P000363,,Republican
P000446,,Republican
P000484,,Republican
S000115,,Republican
S000257,,Republican
S000295,,Republican
S000317,,Federalist
S000617,,Federalist
S000638,,Federalist
S000794,,Republican
S000821,,Federalist
S000862,,
S001048,,Federalist
T000012,,Federalist
T000029,,Federalist
T000047,,Federalist
T000054,,Republican
T000084,,Republican
T000115,,Republican
T000169,,Republican
T000247,,Republican
T000264,,Federalist
V000120,,Federalist
W000128,,Federalist
W000136,,Republican
W000141,,Republican
W000329,,Federalist
W000456,,Federalist
W000523,,
W000565,,Republican
W000595,,Republican
W000616,,Republican
W000725,,Federalist
W000733,,Republican
Y000001,,Republican
Y000009,,Republican
A000317,,Federalist
H000176,,Federalist
H000186,,Federalist
H000225,,Federalist
M000213,,Republican
S000949,,Republican
M000858,,Anti-Administration
A000122,,Republican
A000235,,Republican
A000340,,Republican
B000350,,Republican
B000368,,Republican
B000571,,Republican
B000650,,Federalist
B000990,,Republican
B001137,,Federalist
C000407,,Republican
C000408,,Democratic Republican
C000650,,Federalist
C000664,,Republican
C000728,,Republican
C000954,,Republican
C001019,,Federalist
D000057,,Federalist
D000271,,Republican
D000485,,Republican
E000118,,Republican
E000197,,Republican
F000154,,Republican
F000278,,Republican
G000003,,Republican
G000178,,Republican
G000306,,Republican
H000038,,Republican
H000314,,Republican
H000525,,Federalist
H000647,,Republican
H000705,,Republican
H000743,,Federalist
H000784,,Federalist
H000990,,Republican
H000996,,Federalist
I000038,,Republican
K000243,,Republican
L000147,,Republican
L000177,,Republican
L000297,,Republican
M000030,,Republican
M000142,,Republican
M000215,,Federalist
M000564,,
M000699,,Republican
M000966,,Republican
M001075,,Republican
N000043,,Republican
N000049,,Republican
O000043,,Federalist
O000045,,Republican
O000102,,Federalist
O000127,,Federalist
O000151,,Republican
P000147,,Federalist
P000189,,Republican
P000368,,Federalist
P000432,,
P000442,,Republican
R000204,,Federalist
R000326,,Republican
